Rank,Rikishi,Heya,Shusshin,Birth Date,height_cm,weight_kg,wins,losses,ties
S1e,Musoyama,Musashigawa,Ibaraki,14.02.1972,184,172,12,3,0
S1w,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,188,175.5,11,4,0
S2w,Tochiazuma,Tamanoi,Tokyo,09.11.1976,180.5,147,8,7,0
K1e,Tosanoumi,Isenoumi,Kochi,16.02.1972,186,160,8,7,0
K1w,Kaio,Tomozuna,Fukuoka,24.07.1972,185,175,8,7,0
M1e,Wakanoyama,Musashigawa,Wakayama,12.05.1972,177,163.5,6,9,0
M1w,Kyokushuzan,Oshima,Mongolia,08.03.1973,182.5,133.5,5,10,0
M2e,Tamakasuga,Kataonami,Ehime,07.01.1972,183,148,5,10,0
M2w,Kyokutenho,Oshima,Mongolia,13.09.1974,191,140,4,11,0
M3e,Kotoryu,Sadogatake,Hyogo,02.03.1972,183,149,5,10,0
M3w,Kotonowaka,Sadogatake,Yamagata,15.05.1968,190.5,173.5,0,0,15
M4e,Minatofuji,Minato,Gunma,06.07.1968,186,165.5,2,11,2
M4w,Takanowaka,Naruto,Nagasaki,02.04.1976,190,137.5,5,10,0
M5e,Akinoshima,Futagoyama,Hiroshima,16.03.1967,175,156.5,5,10,0
M5w,Chiyotenzan,Kokonoe,Osaka,06.02.1976,183.5,150,6,9,0
M6e,Tochinonada,Kasugano,Ishikawa,26.02.1974,187.5,163.5,9,6,0
M6w,Shikishima,Tatsutagawa,Chiba,15.12.1970,184.5,185.5,4,11,0
M7e,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,184,131.5,7,8,0
M7w,Toki,Takasago,Chiba,04.07.1974,189.5,173.5,7,8,0
M8e,Asanowaka,Wakamatsu,Aichi,11.12.1969,176,142.3,8,7,0
M8w,Kotonishiki,Sadogatake,Gunma,08.06.1968,175.5,128,2,3,10
M9e,Hamanoshima,Mihogaseki,Kumamoto,21.03.1970,179,118,8,7,0
M9w,Oginishiki,Dewanoumi,Chiba,08.07.1971,186,139,8,7,0
M10e,Asanosho,Wakamatsu,Kanagawa,23.12.1969,185.5,144.5,6,9,0
M10w,Hayateumi,Oitekaze,Aomori,05.07.1975,183.5,129,7,8,0
M11e,Oikari,Isenoumi,Kyoto,16.06.1972,177,128.5,5,10,0
M11w,Higonoumi,Mihogaseki,Kumamoto,23.09.1969,183,148,0,0,15
M12e,Terao,Izutsu,Kagoshima,02.02.1963,185,111,7,8,0
M12w,Daizen,Nishonoseki,Osaka,14.12.1964,188.3,160,9,6,0
M13e,Aogiyama,Tokitsukaze,Shiga,18.02.1970,181.5,151,0,0,15
M13w,Kaiho,Hakkaku,Aomori,17.04.1973,178,125,8,7,0
M14e,Takatoriki,Futagoyama,Hyogo,28.09.1967,180.5,147.5,13,2,0
M14w,Wakanosato,Naruto,Aomori,10.07.1976,184.5,151.5,0,0,15
Y1e,Takanohana,Futagoyama,Tokyo,12.08.1972,185,161,12,3,0
Y1w,Musashimaru,Musashigawa,U.S.A.,02.05.1971,192,220,12,3,0
O1e,Kaio,Tomozuna,Fukuoka,24.07.1972,185,172,13,2,0
O1w,Musoyama,Musashigawa,Ibaraki,14.02.1972,183,177.5,12,3,0
O2e,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,187.7,176,7,8,0
O2w,Dejima,Musashigawa,Ishikawa,21.03.1974,181,165.5,8,7,0
O3e,Chiyotaikai,Kokonoe,Oita,29.04.1976,182,163,0,0,15
S1e,Wakanosato,Naruto,Aomori,10.07.1976,184,156,6,9,0
S1w,Tochinonada,Kasugano,Ishikawa,26.02.1974,187,161,8,7,0
K1e,Tochiazuma,Tamanoi,Tokyo,09.11.1976,180.5,144,9,6,0
K1w,Wakanoyama,Musashigawa,Wakayama,12.05.1972,177,160.5,6,9,0
M1e,Kyokutenho,Oshima,Mongolia,13.09.1974,191.3,146,3,12,0
M1w,Kotoryu,Sadogatake,Hyogo,02.03.1972,183,145.5,1,6,8
M2e,Chiyotenzan,Kokonoe,Osaka,06.02.1976,183.5,148.5,7,8,0
M2w,Hayateumi,Oitekaze,Aomori,05.07.1975,183.5,129,6,9,0
M3e,Takanonami,Futagoyama,Aomori,27.10.1971,196.5,166,6,9,0
M3w,Kotomitsuki,Sadogatake,Aichi,11.04.1976,180.5,148,10,5,0
M4e,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,184,134,6,9,0
M4w,Takanowaka,Naruto,Nagasaki,02.04.1976,190,145.5,8,7,0
M5e,Akinoshima,Futagoyama,Hiroshima,16.03.1967,175,154,5,10,0
M5w,Kyokushuzan,Oshima,Mongolia,08.03.1973,182,142,1,12,2
M6e,Asashoryu,Wakamatsu,Mongolia,27.09.1980,184.5,128,9,6,0
M6w,Kotonowaka,Sadogatake,Yamagata,15.05.1968,190.5,172.5,6,9,0
M7e,Tamakasuga,Kataonami,Ehime,07.01.1972,183.5,154.5,9,6,0
M7w,Tochisakae,Kasugano,Saga,27.06.1974,184,155.5,8,7,0
M8e,Tosanoumi,Isenoumi,Kochi,16.02.1972,186,160,10,5,0
M8w,Higonoumi,Mihogaseki,Kumamoto,23.09.1969,183.5,152.5,6,9,0
M9e,Kaiho,Hakkaku,Aomori,17.04.1973,177,124,8,7,0
M9w,Takatoriki,Futagoyama,Hyogo,28.09.1967,180,150,5,10,0
M10e,Tamanoshima,Kataonami,Fukushima,15.09.1977,187.5,153,11,4,0
M10w,Asanowaka,Wakamatsu,Aichi,11.12.1969,176,140,7,8,0
M11e,Hamanoshima,Mihogaseki,Kumamoto,21.03.1970,179,123,5,10,0
M11w,Tochinohana,Kasugano,Iwate,28.02.1973,185,148.5,6,9,0
M12e,Otsukasa,Irumagawa,Hyogo,18.02.1971,175,150.5,8,7,0
M12w,Terao,Izutsu,Kagoshima,02.02.1963,185,114,8,7,0
M13e,Kinkaiyama,Dewanoumi,Nagasaki,07.01.1976,183,160,3,5,7
M13w,Jumonji,Michinoku,Aomori,09.06.1976,185,159.5,9,6,0
M14e,Minatofuji,Minato,Gunma,06.07.1968,186,168.5,6,9,0
M14w,Daishi,Oshiogawa,Ibaraki,23.08.1968,182,172,4,11,0
M15e,Aminishiki,Ajigawa,Aomori,03.10.1978,184,123,8,7,0
Y1e,Musashimaru,Musashigawa,U.S.A.,02.05.1971,192,227,13,2,0
Y1w,Takanohana,Futagoyama,Tokyo,12.08.1972,185,161,0,0,15
O1e,Tochiazuma,Tamanoi,Tokyo,09.11.1976,180,145,10,5,0
O1w,Chiyotaikai,Kokonoe,Oita,29.04.1976,181.5,155,7,8,0
O2e,Musoyama,Musashigawa,Ibaraki,14.02.1972,183.5,166,10,5,0
O2w,Kaio,Tomozuna,Fukuoka,24.07.1972,185,168.5,12,3,0
S1e,Kotomitsuki,Sadogatake,Aichi,11.04.1976,181.5,151.5,8,7,0
S1w,Asashoryu,Takasago,Mongolia,27.09.1980,183.5,132,11,4,0
K1e,Wakanosato,Naruto,Aomori,10.07.1976,184.5,152,9,6,0
K1w,Takanonami,Futagoyama,Aomori,27.10.1971,196.5,163,6,9,0
M1e,Buyuzan,Musashigawa,Aichi,29.07.1974,181,160,0,3,12
M1w,Tosanoumi,Isenoumi,Kochi,16.02.1972,187,154.5,7,8,0
M2e,Kyokutenho,Oshima,Mongolia,13.09.1974,191,147,6,9,0
M2w,Kotonowaka,Sadogatake,Yamagata,15.05.1968,190.5,180,4,11,0
M3e,Tochinonada,Kasugano,Ishikawa,26.02.1974,187,153,8,7,0
M3w,Kyokushuzan,Oshima,Mongolia,08.03.1973,183,146,2,13,0
M4e,Akinoshima,Futagoyama,Hiroshima,16.03.1967,175,150.5,7,8,0
M4w,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,185,132.5,2,6,7
M5e,Toki,Takasago,Chiba,04.07.1974,190,174,8,7,0
M5w,Otsukasa,Irumagawa,Hyogo,18.02.1971,174,147,6,9,0
M6e,Aminishiki,Ajigawa,Aomori,03.10.1978,185,122.5,10,5,0
M6w,Hayateumi,Oitekaze,Aomori,05.07.1975,183.5,129,0,2,13
M7e,Dejima,Musashigawa,Ishikawa,21.03.1974,180.5,163,6,9,0
M7w,Tamakasuga,Kataonami,Ehime,07.01.1972,183,151,8,7,0
M8e,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,187.5,176.5,9,6,0
M8w,Kaiho,Hakkaku,Aomori,17.04.1973,177.5,120.5,7,8,0
M9e,Tamanoshima,Kataonami,Fukushima,15.09.1977,188,149,6,9,0
M9w,Daizen,Nishonoseki,Osaka,14.12.1964,188,156,9,6,0
M10e,Tochisakae,Kasugano,Saga,27.06.1974,185,158,5,10,0
M10w,Chiyotenzan,Kokonoe,Osaka,06.02.1976,184,142,0,0,15
M11e,Hamanishiki,Oitekaze,Kumamoto,23.11.1976,181,126,7,8,0
M11w,Takanowaka,Naruto,Nagasaki,02.04.1976,190,147.5,11,4,0
M12e,Shimotori,Tokitsukaze,Niigata,18.03.1978,187.5,146.5,6,9,0
M12w,Oikari,Isenoumi,Kyoto,16.06.1972,176,133,7,8,0
M13e,Takamisakari,Azumazeki,Aomori,12.05.1976,189,134,9,6,0
M13w,Towanoyama,Dewanoumi,Tokyo,10.07.1977,192,202,0,1,14
M14e,Oginishiki,Dewanoumi,Chiba,08.07.1971,186,134,4,11,0
M14w,Takatoriki,Futagoyama,Hyogo,28.09.1967,180,144,6,9,0
M15e,Tamarikido,Kataonami,Tokyo,19.04.1974,185,139,4,11,0
M15w,Wakanoyama,Musashigawa,Wakayama,12.05.1972,177,160,9,6,0
Y1e,Musashimaru,Musashigawa,U.S.A.,02.05.1971,192,231.5,0,0,15
Y1w,Asashoryu,Takasago,Mongolia,27.09.1980,183.5,140.2,10,5,0
O1e,Musoyama,Musashigawa,Ibaraki,14.02.1972,184,171.5,1,6,8
O1w,Tochiazuma,Tamanoi,Tokyo,09.11.1976,181,147.5,0,0,15
O2e,Chiyotaikai,Kokonoe,Oita,29.04.1976,181,155,12,3,0
O2w,Kaio,Tomozuna,Fukuoka,24.07.1972,184.5,172,10,5,0
S1e,Takanowaka,Naruto,Nagasaki,02.04.1976,191,152,0,0,15
S1w,Kotomitsuki,Sadogatake,Aichi,11.04.1976,182,146.7,6,9,0
S2e,Wakanosato,Naruto,Aomori,10.07.1976,185.5,153.3,9,6,0
K1e,Dejima,Musashigawa,Ishikawa,21.03.1974,182,159.5,8,7,0
K1w,Tosanoumi,Isenoumi,Kochi,16.02.1972,185.5,160.7,8,7,0
M1e,Takanonami,Futagoyama,Aomori,27.10.1971,196.5,165,7,8,0
M1w,Kyokutenho,Oshima,Mongolia,13.09.1974,190.5,144.5,9,6,0
M2e,Tochinonada,Kasugano,Ishikawa,26.02.1974,188,161.4,9,6,0
M2w,Takamisakari,Azumazeki,Aomori,12.05.1976,188.5,134.6,8,7,0
M3e,Shimotori,Tokitsukaze,Niigata,18.03.1978,188,152,3,7,5
M3w,Kotonowaka,Sadogatake,Yamagata,15.05.1968,191,177.6,7,8,0
M4e,Wakanoyama,Musashigawa,Wakayama,12.05.1972,178,160,4,11,0
M4w,Tamanoshima,Kataonami,Fukushima,15.09.1977,188,155,8,7,0
M5e,Kotoryu,Sadogatake,Hyogo,02.03.1972,182,141.5,5,10,0
M5w,Kaiho,Hakkaku,Aomori,17.04.1973,177.5,123.7,8,7,0
M6e,Iwakiyama,Sakaigawa,Aomori,02.03.1976,185,173.5,6,5,4
M6w,Toki,Takasago,Chiba,04.07.1974,189.5,170.4,5,10,0
M7e,Kasugao,Kasugayama,Korea,01.07.1977,183.5,143.5,8,7,0
M7w,Kyokushuzan,Oshima,Mongolia,08.03.1973,181,144.4,10,5,0
M8e,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,184.5,134.3,8,5,2
M8w,Takanotsuru,Naruto,Kagoshima,18.06.1976,188,168.4,4,11,0
M9e,Aminishiki,Ajigawa,Aomori,03.10.1978,185,121,8,7,0
M9w,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,187.5,178,9,6,0
M10e,Asasekiryu,Takasago,Mongolia,07.08.1981,183,134.7,6,9,0
M10w,Buyuzan,Musashigawa,Aichi,29.07.1974,181,158.2,7,8,0
M11e,Hokutoriki,Hakkaku,Tochigi,31.10.1977,183,148.6,10,5,0
M11w,Tamarikido,Kataonami,Tokyo,19.04.1974,184.5,138.3,8,7,0
M12e,Kinkaiyama,Dewanoumi,Nagasaki,07.01.1976,184,156,5,10,0
M12w,Akinoshima,Futagoyama,Hiroshima,16.03.1967,175,148.6,6,9,0
M13e,Kasuganishiki,Kasugano,Chiba,22.08.1975,187.5,146.3,6,9,0
M13w,Takekaze,Oguruma,Akita,21.06.1979,170.5,140.3,1,3,11
M14e,Gojoro,Magaki,Miyagi,18.08.1973,191,156.4,9,6,0
M14w,Jumonji,Michinoku,Aomori,09.06.1976,185.5,150,9,6,0
M15e,Tochinohana,Kasugano,Iwate,28.02.1973,185,146.9,5,10,0
Y1e,Asashoryu,Takasago,Mongolia,27.09.1980,185,140,15,0,0
O1e,Chiyotaikai,Kokonoe,Oita,29.04.1976,181,155,13,2,0
O1w,Kaio,Tomozuna,Fukuoka,24.07.1972,185,175,13,2,0
O2e,Tochiazuma,Tamanoi,Tokyo,09.11.1976,181,151,0,3,12
O2w,Musoyama,Musashigawa,Ibaraki,14.02.1972,184,175,9,6,0
S1e,Wakanosato,Naruto,Aomori,10.07.1976,185,150.2,8,7,0
S1w,Kotomitsuki,Sadogatake,Aichi,11.04.1976,181.5,153.8,7,8,0
K1e,Kakizoe,Musashigawa,Oita,12.08.1978,177,139,6,9,0
K1w,Shimotori,Tokitsukaze,Niigata,18.03.1978,190,152,6,9,0
M1e,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,187.5,179,8,7,0
M1w,Kyokushuzan,Oshima,Mongolia,08.03.1973,182.5,138.4,4,11,0
M2e,Dejima,Musashigawa,Ishikawa,21.03.1974,180,165,7,8,0
M2w,Kyokutenho,Oshima,Mongolia,13.09.1974,191,149,10,5,0
M3e,Tochinonada,Kasugano,Ishikawa,26.02.1974,186.5,163.9,8,7,0
M3w,Tamanoshima,Kataonami,Fukushima,15.09.1977,188,156,6,9,0
M4e,Aminishiki,Ajigawa,Aomori,03.10.1978,184,126.5,3,12,0
M4w,Tosanoumi,Isenoumi,Kochi,16.02.1972,187,156,5,10,0
M5e,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,185,137.5,8,7,0
M5w,Iwakiyama,Sakaigawa,Aomori,02.03.1976,185,175,7,8,0
M6e,Hokutoriki,Hakkaku,Tochigi,31.10.1977,182.5,153,9,6,0
M6w,Jumonji,Michinoku,Aomori,09.06.1976,186,155.5,4,11,0
M7e,Tochisakae,Kasugano,Saga,27.06.1974,183,150.4,7,8,0
M7w,Kinkaiyama,Dewanoumi,Nagasaki,07.01.1976,184,163,4,11,0
M8e,Takamisakari,Azumazeki,Aomori,12.05.1976,188.5,133.5,8,7,0
M8w,Takanonami,Takanohana,Aomori,27.10.1971,196,163.5,5,10,0
M9e,Buyuzan,Musashigawa,Aichi,29.07.1974,181,164,8,7,0
M9w,Kokkai,Oitekaze,Georgia (old),10.03.1981,188,151,8,7,0
M10e,Kasuganishiki,Kasugano,Chiba,22.08.1975,187,148.5,5,10,0
M10w,Kotoryu,Sadogatake,Hyogo,02.03.1972,182.5,140.2,8,7,0
M11e,Asanowaka,Takasago,Aichi,11.12.1969,176,140,5,10,0
M11w,Takekaze,Oguruma,Akita,21.06.1979,172,142,9,6,0
M12e,Toki,Takasago,Chiba,04.07.1974,190.5,172,8,7,0
M12w,Asasekiryu,Takasago,Mongolia,07.08.1981,184,137.4,13,2,0
M13e,Kotonowaka,Sadogatake,Yamagata,15.05.1968,191,176,11,4,0
M13w,Chiyotenzan,Kokonoe,Osaka,06.02.1976,183.5,138,3,12,0
M14e,Harunoyama,Matsugane,Aichi,02.08.1976,188,177,9,6,0
M14w,Ushiomaru,Azumazeki,Shizuoka,11.05.1978,176.5,166,7,8,0
M15e,Futeno,Dewanoumi,Kumamoto,28.08.1980,181,161,7,8,0
M15w,Toyozakura,Michinoku,Hiroshima,12.03.1974,182,139,6,9,0
M16e,Wakanoyama,Musashigawa,Wakayama,12.05.1972,178,164,2,13,0
M16w,Kaiho,Hakkaku,Aomori,17.04.1973,178,125,9,6,0
M17e,Yotsukasa,Irumagawa,Mie,25.09.1973,177.5,151.5,6,9,0
Y1e,Asashoryu,Takasago,Mongolia,27.09.1980,184,142.6,14,1,0
O1e,Chiyotaikai,Kokonoe,Oita,29.04.1976,181.5,155,6,9,0
O1w,Kaio,Tomozuna,Fukuoka,24.07.1972,184.5,173.5,10,5,0
O2w,Tochiazuma,Tamanoi,Tokyo,09.11.1976,180,148.5,10,5,0
S1e,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,188,178,5,10,0
S1w,Hakuho,Miyagino,Mongolia,11.03.1985,191.5,141,8,7,0
K1e,Iwakiyama,Sakaigawa,Aomori,02.03.1976,185,174,4,11,0
K1w,Kotooshu,Sadogatake,Bulgaria,19.02.1983,202,140,4,11,0
M1e,Kyokutenho,Oshima,Mongolia,13.09.1974,191,150,6,9,0
M1w,Wakanosato,Naruto,Aomori,10.07.1976,185,153,8,7,0
M2e,Kotomitsuki,Sadogatake,Aichi,11.04.1976,182,154,9,6,0
M2w,Kakizoe,Musashigawa,Oita,12.08.1978,177,137,6,9,0
M3e,Tosanoumi,Isenoumi,Kochi,16.02.1972,186.5,155,10,5,0
M3w,Hayateumi,Oitekaze,Aomori,05.07.1975,185,118.8,0,0,15
M4e,Kokkai,Oitekaze,Georgia (old),10.03.1981,189.5,156,9,6,0
M4w,Tochinonada,Kasugano,Ishikawa,26.02.1974,187.5,165,8,7,0
M5e,Dejima,Musashigawa,Ishikawa,21.03.1974,180.5,160,7,8,0
M5w,Hokutoriki,Hakkaku,Tochigi,31.10.1977,182.5,153,7,8,0
M6e,Kyokushuzan,Oshima,Mongolia,08.03.1973,182,143,5,10,0
M6w,Roho,Otake,Russia,09.03.1980,194,146,11,4,0
M7e,Jumonji,Michinoku,Aomori,09.06.1976,185,156,7,8,0
M7w,Tamanoshima,Kataonami,Fukushima,15.09.1977,188,156,12,3,0
M8e,Shimotori,Tokitsukaze,Niigata,18.03.1978,189.5,148,2,10,3
M8w,Takamisakari,Azumazeki,Aomori,12.05.1976,188,134.1,9,6,0
M9e,Kotonowaka,Sadogatake,Yamagata,15.05.1968,191,174,8,7,0
M9w,Asasekiryu,Takasago,Mongolia,07.08.1981,185,140,8,7,0
M10e,Buyuzan,Musashigawa,Aichi,29.07.1974,180,156,6,9,0
M10w,Kaiho,Hakkaku,Aomori,17.04.1973,177.5,120,11,4,0
M11e,Kasugao,Kasugayama,Korea,01.07.1977,183,151.5,1,14,0
M11w,Ama,Ajigawa,Mongolia,14.04.1984,186,112.8,9,6,0
M12e,Takanowaka,Naruto,Nagasaki,02.04.1976,190.5,148,7,8,0
M12w,Kotoryu,Sadogatake,Hyogo,02.03.1972,183,139,0,4,11
M13e,Toyonoshima,Tokitsukaze,Kochi,29.06.1983,171,123.6,7,8,0
M13w,Futeno,Dewanoumi,Kumamoto,28.08.1980,180.5,155,8,7,0
M14e,Kasuganishiki,Kasugano,Chiba,22.08.1975,187,148,1,3,11
M14w,Toyozakura,Michinoku,Hiroshima,12.03.1974,183,140,8,7,0
M15e,Tamakasuga,Kataonami,Ehime,07.01.1972,182,154,7,8,0
M15w,Kisenosato,Naruto,Ibaraki,03.07.1986,187.5,155,8,7,0
M16e,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,183,129,8,7,0
M16w,Otsukasa,Irumagawa,Hyogo,18.02.1971,175,150,4,11,0
M17e,Ishide,Hanaregoma,Saitama,13.07.1976,177,121,6,9,0
M17w,Aminishiki,Ajigawa,Aomori,03.10.1978,184,131,9,6,0
Y1e,Asashoryu,Takasago,Mongolia,27.09.1980,184,146,13,2,0
O1e,Tochiazuma,Tamanoi,Tokyo,09.11.1976,180,153.5,12,3,0
O1w,Kotooshu,Sadogatake,Bulgaria,19.02.1983,204,140.9,9,6,0
O2e,Chiyotaikai,Kokonoe,Oita,29.04.1976,181,158,9,6,0
O2w,Kaio,Tomozuna,Fukuoka,24.07.1972,184.5,167.7,8,7,0
S1e,Hakuho,Miyagino,Mongolia,11.03.1985,192,148.2,13,2,0
S1w,Kotomitsuki,Sadogatake,Aichi,11.04.1976,182,156,8,7,0
K1e,Roho,Otake,Russia,09.03.1980,194,146.5,4,11,0
K1w,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,188,181.5,10,5,0
M1e,Tamanoshima,Kataonami,Fukushima,15.09.1977,187,157.4,5,10,0
M1w,Kokkai,Oitekaze,Georgia (old),10.03.1981,189,165,5,10,0
M2e,Ama,Ajigawa,Mongolia,14.04.1984,185,113,8,7,0
M2w,Hokutoriki,Hakkaku,Tochigi,31.10.1977,182.5,152.8,1,14,0
M3e,Aminishiki,Ajigawa,Aomori,03.10.1978,185,129.5,7,8,0
M3w,Iwakiyama,Sakaigawa,Aomori,02.03.1976,184.5,175,4,11,0
M4e,Futeno,Dewanoumi,Kumamoto,28.08.1980,180.5,149,6,9,0
M4w,Dejima,Musashigawa,Ishikawa,21.03.1974,181,160.5,6,9,0
M5e,Kyokutenho,Oshima,Mongolia,13.09.1974,192,152.4,11,4,0
M5w,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,183,131.5,2,13,0
M6e,Kakizoe,Musashigawa,Oita,12.08.1978,177,136,9,6,0
M6w,Tokitenku,Tokitsukaze,Mongolia,10.09.1979,187,140.3,8,7,0
M7e,Kisenosato,Naruto,Ibaraki,03.07.1986,186.5,155.5,10,5,0
M7w,Kasugao,Kasugayama,Korea,01.07.1977,183,153,7,8,0
M8e,Kotoshogiku,Sadogatake,Fukuoka,30.01.1984,179,150,9,6,0
M8w,Asasekiryu,Takasago,Mongolia,07.08.1981,185.5,143.5,10,5,0
M9e,Jumonji,Michinoku,Aomori,09.06.1976,184,153.7,4,11,0
M9w,Takekaze,Oguruma,Akita,21.06.1979,171,142,9,6,0
M10e,Tochinohana,Kasugano,Iwate,28.02.1973,184,140,7,8,0
M10w,Toyonoshima,Tokitsukaze,Kochi,29.06.1983,170,130.4,6,9,0
M11e,Wakanosato,Naruto,Aomori,10.07.1976,184.5,154.8,11,4,0
M11w,Takamisakari,Azumazeki,Aomori,12.05.1976,188,133.5,7,8,0
M12e,Hakurozan,Hatachiyama,Russia,06.02.1982,189,140,9,6,0
M12w,Tochinonada,Kasugano,Ishikawa,26.02.1974,187,161,8,7,0
M13e,Kyokushuzan,Oshima,Mongolia,08.03.1973,182,139.2,11,4,0
M13w,Kasuganishiki,Kasugano,Chiba,22.08.1975,188,146,5,10,0
M14e,Toyozakura,Michinoku,Hiroshima,12.03.1974,183,134.3,4,11,0
M14w,Kitazakura,Kitanoumi,Hiroshima,15.12.1971,189,173,7,8,0
M15e,Tamakasuga,Kataonami,Ehime,07.01.1972,182,153.5,9,6,0
M15w,Otsukasa,Irumagawa,Hyogo,18.02.1971,175,148.4,4,11,0
M16e,Ushiomaru,Azumazeki,Shizuoka,11.05.1978,176,168,4,11,0
M16w,Yoshikaze,Oguruma,Oita,19.03.1982,176.5,132.6,8,7,0
M17e,Buyuzan,Musashigawa,Aichi,29.07.1974,181,164,8,7,0
Y1e,Asashoryu,Takasago,Mongolia,27.09.1980,184,148,13,2,0
O1e,Chiyotaikai,Kokonoe,Oita,29.04.1976,181,158.5,7,8,0
O1w,Hakuho,Miyagino,Mongolia,11.03.1985,192,152.9,13,2,0
O2e,Kotooshu,Sadogatake,Bulgaria,19.02.1983,203,145.5,8,7,0
O2w,Kaio,Tomozuna,Fukuoka,24.07.1972,184.5,172.7,8,7,0
O3w,Tochiazuma,Tamanoi,Tokyo,09.11.1976,180,150.2,8,4,3
S1e,Kotomitsuki,Sadogatake,Aichi,11.04.1976,182,154,10,5,0
S1w,Kotoshogiku,Sadogatake,Fukuoka,30.01.1984,180,150.5,7,8,0
K1e,Ama,Ajigawa,Mongolia,14.04.1984,186,124,8,7,0
K1w,Tokitenku,Tokitsukaze,Mongolia,10.09.1979,187,148,7,8,0
M1e,Kisenosato,Naruto,Ibaraki,03.07.1986,186,160,6,9,0
M1w,Toyonoshima,Tokitsukaze,Kochi,29.06.1983,170,135.4,8,7,0
M2e,Kyokutenho,Oshima,Mongolia,13.09.1974,192,155,4,11,0
M2w,Asasekiryu,Takasago,Mongolia,07.08.1981,184.5,136,4,11,0
M3e,Miyabiyama,Musashigawa,Ibaraki,28.07.1977,188,181.5,4,4,7
M3w,Kasugao,Kasugayama,Korea,01.07.1977,184,150,5,10,0
M4e,Futeno,Dewanoumi,Kumamoto,28.08.1980,180.5,152.2,3,12,0
M4w,Takekaze,Oguruma,Akita,21.06.1979,171,138.5,7,8,0
M5e,Homasho,Shikoroyama,Yamaguchi,16.04.1981,187,146,11,4,0
M5w,Tamakasuga,Kataonami,Ehime,07.01.1972,182,154.5,4,11,0
M6e,Takamisakari,Azumazeki,Aomori,12.05.1976,188,135.8,7,8,0
M6w,Kakizoe,Musashigawa,Oita,12.08.1978,178,138,8,7,0
M7e,Kokkai,Oitekaze,Georgia (old),10.03.1981,189,153,10,5,0
M7w,Roho,Otake,Russia,09.03.1980,195,153,7,8,0
M8e,Dejima,Musashigawa,Ishikawa,21.03.1974,180,156.5,7,8,0
M8w,Tamanoshima,Kataonami,Fukushima,15.09.1977,187.5,156.8,10,5,0
M9e,Aminishiki,Ajigawa,Aomori,03.10.1978,185,136,9,6,0
M9w,Tochinonada,Kasugano,Ishikawa,26.02.1974,187,163,7,8,0
M10e,Kasuganishiki,Kasugano,Chiba,22.08.1975,188,150.5,4,11,0
M10w,Tokitsuumi,Tokitsukaze,Nagasaki,08.11.1973,184,132.7,8,7,0
M11e,Iwakiyama,Sakaigawa,Aomori,02.03.1976,184,172.9,5,10,0
M11w,Kakuryu,Izutsu,Mongolia,10.08.1985,187,132.4,9,6,0
M12e,Ushiomaru,Azumazeki,Shizuoka,11.05.1978,176,166.1,6,9,0
M12w,Yoshikaze,Oguruma,Oita,19.03.1982,176.5,126.5,5,10,0
M13e,Hakurozan,Kitanoumi,Russia,06.02.1982,189,137,5,10,0
M13w,Baruto,Onoe,Estonia,05.11.1984,197,174,0,0,15
M14e,Tochiozan,Kasugano,Kochi,09.03.1987,187,143.4,11,4,0
M14w,Tosanoumi,Isenoumi,Kochi,16.02.1972,186,157.3,6,9,0
M15e,Shimotori,Tokitsukaze,Niigata,18.03.1978,188,146,9,6,0
M15w,Tochinohana,Kasugano,Iwate,28.02.1973,184.5,137.6,8,7,0
M16e,Wakanosato,Naruto,Aomori,10.07.1976,184,153.8,11,4,0
M16w,Jumonji,Michinoku,Aomori,09.06.1976,185,159,4,9,2
Y1e,Hakuho,Miyagino,Mongolia,11.03.1985,192.6,153.2,12,3,0
Y1w,Asashoryu,Takasago,Mongolia,27.09.1980,184,148,13,2,0
O1e,Kotooshu,Sadogatake,Bulgaria,19.02.1983,203,151,2,7,6
O1w,Kotomitsuki,Sadogatake,Aichi,11.04.1976,182,156,8,7,0
O2e,Kaio,Tomozuna,Fukuoka,24.07.1972,184,171.3,8,7,0
O2w,Chiyotaikai,Kokonoe,Oita,29.04.1976,181,155.5,8,7,0
S1e,Ama,Isegahama,Mongolia,14.04.1984,185,126,8,7,0
S1w,Kotoshogiku,Sadogatake,Fukuoka,30.01.1984,179.5,158.7,8,7,0
K1e,Kisenosato,Naruto,Ibaraki,03.07.1986,187,167,8,7,0
K1w,Takekaze,Oguruma,Akita,21.06.1979,171,142,3,12,0
M1e,Asasekiryu,Takasago,Mongolia,07.08.1981,185,140.5,8,7,0
