season,tour,date,location,event,bull,score
2023,Unleash The Beast,2023-01-29,"Indianapolis, IN",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY ARIAT,UTZ BesTex Legend,0
2023,Unleash The Beast,2023-01-29,"Indianapolis, IN",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY ARIAT,Top Shelf,88.75
2023,Unleash The Beast,2023-01-28,"Indianapolis, IN",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY ARIAT 15/15 Bucking Battle,Yellowknife,0
2023,Unleash The Beast,2023-01-28,"Indianapolis, IN",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY ARIAT,Blazer,0
2023,Unleash The Beast,2023-01-22,"Duluth, GA",PBR GWINNETT CHUTE OUT,Chateau Montelena's Montana Jacket,0
2023,Unleash The Beast,2023-01-22,"Duluth, GA",PBR GWINNETT CHUTE OUT,Homegrown,90.5
2023,Unleash The Beast,2023-01-21,"Duluth, GA",PBR GWINNETT CHUTE OUT,Empty Glass,0
2023,Unleash The Beast,2023-01-14,"Chicago, IL",PBR TRACTOR SUPPLY CO. INVITATIONAL,Cliff Hanger,88.25
2023,Unleash The Beast,2023-01-14,"Chicago, IL",PBR TRACTOR SUPPLY CO. INVITATIONAL,Knucklehead,87
2023,Unleash The Beast,2023-01-13,"Chicago, IL",PBR TRACTOR SUPPLY CO INVITATIONAL 15/15 BUCKING BATTLE,The Right Stuff,88
2023,Unleash The Beast,2023-01-13,"Chicago, IL",PBR TRACTOR SUPPLY CO. INVITATIONAL,Reinstate Hank,83.5
2023,Unleash The Beast,2023-01-08,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Cliff Hanger,92
2023,Unleash The Beast,2023-01-08,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Choc Tease,0
2023,Unleash The Beast,2023-01-07,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Bad Decisions,86.5
2023,Unleash The Beast,2023-01-06,"New York, NY",PBR MONSTER ENERGY BUCK OFF AT THE GARDEN PRESENTED BY ARIAT,Pickle Moonshine,87.75
2022,PBR Teams,2022-11-05,"Las Vegas, NV",Game 5 NSH Stampede (8) v. AUS Gamblers (1),Show Me Homie,0
2022,PBR Teams,2022-10-16,"Glendale, AZ",Austin Gamblers @ Arizona Ridge Riders,Dagger,0
2022,PBR Teams,2022-10-15,"Glendale, AZ",Austin Gamblers @ Kansas City Outlaws,Chainsaw,85
2022,PBR Teams,2022-10-14,"Glendale, AZ",Austin Gamblers @ Missouri Thunder,Bad Decisions,87.75
2022,PBR Teams,2022-10-09,"Ft Worth, TX",Austin Gamblers @ Texas Rattlers,Theodore,88.5
2022,PBR Teams,2022-10-08,"Ft Worth, TX",Missouri Thunder @ Austin Gamblers,Chateau Montelena's Montana Jacket,91.75
2022,PBR Teams,2022-10-07,"Ft Worth, TX",Austin Gamblers @ Nashville Stampede,Hundred Bad Days,91
2022,PBR Teams,2022-09-24,"Ridgedale, MO",Oklahoma Freedom @ Austin Gamblers,Patches,90.25
2022,PBR Teams,2022-09-23,"Ridgedale, MO",Austin Gamblers @ Kansas City Outlaws,Schott In The Dark,88.5
2022,PBR Teams,2022-08-28,"Austin, TX",Carolina Cowboys @ Austin Gamblers,Blazer,0
2022,PBR Teams,2022-08-27,"Austin, TX",Texas Rattlers @ Austin Gamblers,Ninja Cowboy,88
2022,PBR Teams,2022-08-26,"Austin, TX",Nashville Stampede @ Austin Gamblers,John 14:6,89.75
2022,PBR Teams,2022-08-21,"Nashville, TN",Missouri Thunder @ Austin Gamblers,ZZ Top,87.5
2022,PBR Teams,2022-08-21,"Nashville, TN",Bonus Round,I'm Legit Too,88.75
2022,PBR Teams,2022-08-20,"Nashville, TN",Austin Gamblers @ Carolina Cowboys,Hostage,0
2022,PBR Teams,2022-08-19,"Nashville, TN",Austin Gamblers @ Arizona Ridge Riders,JoJo,87.5
2022,PBR Teams,2022-08-13,"Anaheim, CA",Kansas City Outlaws @ Austin Gamblers,Monkey Blues,88.75
2022,PBR Teams,2022-08-13,"Anaheim, CA",Bonus Round,July,0
2022,PBR Teams,2022-08-12,"Anaheim, CA",Austin Gamblers @ Nashville Stampede,Tijuana Two-Step,89
2022,PBR Teams,2022-08-07,"Kansas City, MO",Bonus Round,The Right Stuff,0
2022,PBR Teams,2022-08-07,"Kansas City, MO",Austin Gamblers @ Texas Rattlers,Norse God,89.25
2022,PBR Teams,2022-08-06,"Kansas City, MO",Austin Gamblers @ Missouri Thunder,Mr. Winston,86.25
2022,PBR Teams,2022-08-06,"Kansas City, MO",Austin Gamblers @ Missouri Thunder,Death Warrant,62.5
2022,PBR Teams,2022-08-05,"Kansas City, MO",Carolina Cowboys @ Austin Gamblers,Show Me Homie,0
2022,PBR Teams,2022-07-26,"Cheyenne, WY",Oklahoma Freedom @ Austin Gamblers,Lil Hott,86
2022,PBR Teams,2022-07-26,"Cheyenne, WY",Bonus Round,Chateau Montelena's Montana Jacket,90.75
2022,PBR Teams,2022-07-25,"Cheyenne, WY",Arizona Ridge Riders @ Austin Gamblers,The Right Stuff,89
2022,Unleash The Beast,2022-05-21,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Crossover,0
2022,Unleash The Beast,2022-05-20,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Norse God,92.75
2022,Unleash The Beast,2022-05-19,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Vanilla Ice,0
2022,Unleash The Beast,2022-05-19,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Safety Meeting,0
2022,Unleash The Beast,2022-05-15,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Big Whiskey,86
2022,Unleash The Beast,2022-05-14,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Lone Survivor,90.25
2022,Unleash The Beast,2022-05-14,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Hang 'em High,0
2022,Unleash The Beast,2022-05-13,"Fort Worth, TX",PBR WORLD FINALS: UNLEASH THE BEAST,Mr. Personality,85.75
2022,Unleash The Beast,2022-04-23,"Nampa, ID",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY COOPER TIRES,Ranch Water,85.25
2022,Unleash The Beast,2022-04-22,"Nampa, ID",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY COOPER TIRES 15/15 BUCKING BATTLE,Pookie Holler,0
2022,Unleash The Beast,2022-04-22,"Nampa, ID",PBR ZIPRECRUITER INVITATIONAL PRESENTED BY COOPER TIRES,UTZ BesTex Red Clark,0
2022,Unleash The Beast,2022-04-16,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY HARD ROCK HOTEL & CASINO,I'm Legit Too,94
2022,Unleash The Beast,2022-04-16,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY HARD ROCK HOTEL & CASINO,Casper,88.5
2022,Unleash The Beast,2022-04-15,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY HARD ROCK HOTEL & CASINO,God Bless,89.75
2022,Unleash The Beast,2022-04-02,"Sioux Falls, SD",PBR FIRST PREMIER BANK PREMIER BANKCARD INVITATIONAL PRESENTED BY COOPER TIRES 15/15 BUCKING BATTLE,JAG Metals Grand Theft,0
2022,Unleash The Beast,2022-04-01,"Sioux Falls, SD",PBR FIRST PREMIER BANK PREMIER BANKCARD LAST COWBOY STANDING PRESENTED BY COOPER TIRES,Slingin Lead,0
2022,Unleash The Beast,2022-03-27,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY THE DOWNS RACETRACK AND CASINO,Poker Chip,0
2022,Unleash The Beast,2022-03-27,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY THE DOWNS RACETRACK AND CASINO,Border Crisis,0
2022,Unleash The Beast,2022-03-27,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY THE DOWNS RACETRACK AND CASINO,Just Another Gangster,87
2022,Unleash The Beast,2022-03-26,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY THE DOWNS RACETRACK AND CASINO 15/15 BUCKING BATTLE,Poker Chip,0
2022,Unleash The Beast,2022-03-25,"Albuquerque, NM",PBR TY MURRAY INVITATIONAL PRESENTED BY THE DOWNS RACETRACK AND CASINO 15/15 BUCKING BATTLE,Western Haulers Mezcal,0
2022,Unleash The Beast,2022-03-19,"Kansas City, MO",PBR CATERPILLAR CLASSIC PRESENTED BY UNION HOME MORTGAGE,Vanilla Ice,0
2022,Unleash The Beast,2022-03-19,"Kansas City, MO",PBR CATERPILLAR CLASSIC PRESENTED BY UNION HOME MORTGAGE,Magic Potion,0
2022,Unleash The Beast,2022-03-18,"Kansas City, MO",PBR CATERPILLAR CLASSIC PRESENTED BY UNION HOME MORTGAGE,"Dang, Dang",89.5
2022,Unleash The Beast,2022-03-13,"Glendale, AZ",PBR U.S. BORDER PATROL INVITATIONAL PRESENTED BY COOPER TIRES,The Good Stuff,85.5
2022,Unleash The Beast,2022-03-12,"Glendale, AZ",PBR U.S. BORDER PATROL INVITATIONAL PRESENTED BY COOPER TIRES,Yadi,0
2022,Global Cup,2022-03-05,"Arlington, TX",PBR GLOBAL CUP PRESENTED BY MONSTER ENERGY,HomeBru,0
2022,Global Cup,2022-03-05,"Arlington, TX",PBR GLOBAL CUP PRESENTED BY MONSTER ENERGY,War Daddy,0
2022,Unleash The Beast,2022-02-26,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Diddy Wa Diddy,92
2022,Unleash The Beast,2022-02-26,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Hang 'em High,90.25
2022,Unleash The Beast,2022-02-25,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Heart & Soul,68.5
2022,Unleash The Beast,2022-02-25,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Choc Tease,89.75
2022,Unleash The Beast,2022-02-22,"Los Angeles, CA",PBR PLUTO TV INVITATIONAL,Buckin’ For Cash,0
2022,Unleash The Beast,2022-02-22,"Los Angeles, CA",PBR PLUTO TV INVITATIONAL,War Paint,86.75
2022,Unleash The Beast,2022-02-19,"St. Louis, MO",PBR TICKETSMARTER INVITATIONAL PRESENTED BY COOPER TIRES,Big Black,0
2022,Unleash The Beast,2022-02-19,"St. Louis, MO",PBR TICKETSMARTER INVITATIONAL PRESENTED BY COOPER TIRES,WSM's Trail of Tears,88.25
2022,Unleash The Beast,2022-02-18,"St. Louis, MO",PBR TICKETSMARTER INVITATIONAL PRESENTED BY COOPER TIRES,T-Bone,86.75
2022,Unleash The Beast,2022-02-12,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL PRESENTED BY UNION HOME MORTGAGE,Falcon Eddie,0
2022,Unleash The Beast,2022-02-12,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL PRESENTED BY UNION HOME MORTGAGE,Hou's Magic,0
2022,Unleash The Beast,2022-02-11,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL PRESENTED BY UNION HOME MORTGAGE 15/15 BUCKING BATTLE,Ridin' Solo,94.75
2022,Unleash The Beast,2022-02-11,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL PRESENTED BY UNION HOME MORTGAGE,Tulsa Time,0
2022,Unleash The Beast,2022-02-05,"Milwaukee, WI",PBR ARIAT INVITATIONAL,JAG Metals Grand Theft,92
2022,Unleash The Beast,2022-02-05,"Milwaukee, WI",PBR ARIAT INVITATIONAL,Tiger,88
2022,Unleash The Beast,2022-02-04,"Milwaukee, WI",PBR ARIAT INVITATIONAL,Lonesome Fugitive,0
2022,Unleash The Beast,2022-01-30,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC PRESENTED BY BASS PRO SHOPS,Buck Wild,0
2022,Unleash The Beast,2022-01-29,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC PRESENTED BY BASS PRO SHOPS,Lil' Loco,0
2022,Unleash The Beast,2022-01-28,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC PRESENTED BY BASS PRO SHOPS,Crazy Corona,86.25
2022,Unleash The Beast,2022-01-23,"Duluth, GA",PBR GWINNETT INVITATIONAL,Mike's Motive,89.25
2022,Unleash The Beast,2022-01-23,"Duluth, GA",PBR GWINNETT INVITATIONAL,Cold Chill,88.5
2022,Unleash The Beast,2022-01-22,"Duluth, GA",PBR GWINNETT INVITATIONAL,Blue Duck,0
2021,Unleash The Beast,2021-11-07,"Las Vegas, NV",PBR WORLD FINALS: UNLEASH THE BEAST,Woopaa,98.75
2021,Unleash The Beast,2021-11-07,"Las Vegas, NV",PBR WORLD FINALS: UNLEASH THE BEAST,Top Shelf,91.25
2021,Unleash The Beast,2021-11-06,"Las Vegas, NV",PBR WORLD FINALS: UNLEASH THE BEAST,WSM's Jive Turkey,92.5
2021,Unleash The Beast,2021-11-05,"Las Vegas, NV",PBR WORLD FINALS: UNLEASH THE BEAST,The Good Stuff,86.75
2021,Unleash The Beast,2021-11-04,"Las Vegas, NV",PBR WORLD FINALS: UNLEASH THE BEAST,Montana Moon,88
2021,Unleash The Beast,2021-11-03,"Las Vegas, NV",PBR WORLD FINALS: UNLEASH THE BEAST,Little Voodoo Jacket,86.75
2021,Unleash The Beast,2021-09-19,"Newark, NJ",PBR ZIPRECRUITER INVITATIONAL,Slingin Tears,90.75
2021,Unleash The Beast,2021-09-19,"Newark, NJ",PBR ZIPRECRUITER INVITATIONAL,Home Wrecker,92
2021,Unleash The Beast,2021-09-18,"Newark, NJ",PBR ZIPRECRUITER INVITATIONAL,A-Team,88.5
2021,Unleash The Beast,2021-09-11,"Anaheim, CA",PBR MONSTER ENERGY INVITATIONAL PRESENTED BY COOPER TIRES,The Good Stuff,90.75
2021,Unleash The Beast,2021-09-11,"Anaheim, CA",PBR MONSTER ENERGY INVITATIONAL PRESENTED BY COOPER TIRES,Lights Out,89.75
2021,Unleash The Beast,2021-09-10,"Anaheim, CA",PBR MONSTER ENERGY INVITATIONAL PRESENTED BY COOPER TIRES,BB King,87.75
2021,Unleash The Beast,2021-09-10,"Anaheim, CA",PBR MONSTER ENERGY INVITATIONAL PRESENTED BY COOPER TIRES,Gangster of Love,79
2021,Cowboys for a Cause,2021-09-04,"Corpus Christi, TX",PBR AIR FORCE RESERVE COWBOYS FOR A CAUSE,Udder Lover,84.25
2021,Cowboys for a Cause,2021-09-04,"Corpus Christi, TX",PBR AIR FORCE RESERVE COWBOYS FOR A CAUSE,Steel Wishes,90.75
2021,Unleash The Beast,2021-08-29,"Fort Worth, TX",PBR TRACTOR SUPPLY CO. IRON COWBOY PRESENTED BY ARIAT,Zero Time,0
2021,Unleash The Beast,2021-08-28,"Fort Worth, TX",PBR TRACTOR SUPPLY CO. IRON COWBOY PRESENTED BY ARIAT,Prime Tested,0
2021,Unleash The Beast,2021-08-22,"Nashville, TN",PBR ARIAT MUSIC CITY KNOCKOUT PRESENTED BY COOPER TIRES,Bubba G,91.75
2021,Unleash The Beast,2021-08-22,"Nashville, TN",PBR ARIAT MUSIC CITY KNOCKOUT PRESENTED BY COOPER TIRES,The Sauce,82.25
2021,Unleash The Beast,2021-08-21,"Nashville, TN",PBR ARIAT MUSIC CITY KNOCKOUT PRESENTED BY COOPER TIRES,Show Me Homie,90.75
2021,Unleash The Beast,2021-08-21,"Nashville, TN",PBR ARIAT MUSIC CITY KNOCKOUT PRESENTED BY COOPER TIRES 15/15 BUCKING BATTLE,Ridin' Solo,0
2021,Unleash The Beast,2021-08-15,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Oilfield Outlaw's Yellow Feather,0
2021,Unleash The Beast,2021-08-15,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Havoc,0
2021,Unleash The Beast,2021-08-14,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN,Jersey Tuff,89.75
2021,Unleash The Beast,2021-08-14,"Little Rock, AR",PBR BAD BOY MOWERS MOWDOWN 15/15 BUCKING BATTLE,Blue Crush,0
2021,Unleash The Beast,2021-08-08,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC,The Right Stuff,88.75
2021,Unleash The Beast,2021-08-08,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC,TJ Chavez,0
2021,Unleash The Beast,2021-08-07,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC 15/15 BUCKING BATTLE,The Right Stuff,88.75
2021,Unleash The Beast,2021-08-06,"Sacramento, CA",PBR WRANGLER LONG LIVE COWBOYS CLASSIC,4B Special,89.5
2021,Unleash The Beast,2021-08-01,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY PIT BOSS,Big Mac,0
2021,Unleash The Beast,2021-07-31,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY PIT BOSS,Body Count,0
2021,Unleash The Beast,2021-07-31,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY PIT BOSS 15/15 BUCKING BATTLE,Woopaa,97.75
2021,Unleash The Beast,2021-07-27,"Cheyenne, WY",PBR LAST COWBOY STANDING,Safety Meeting,91.25
2021,Unleash The Beast,2021-07-27,"Cheyenne, WY",PBR LAST COWBOY STANDING,Midnight Flyer,88.75
2021,Unleash The Beast,2021-07-27,"Cheyenne, WY",PBR LAST COWBOY STANDING,Young Man's Blues,90.75
2021,Unleash The Beast,2021-07-27,"Cheyenne, WY",PBR LAST COWBOY STANDING,Drago,92.25
2021,Unleash The Beast,2021-07-26,"Cheyenne, WY",PBR LAST COWBOY STANDING,Combustion,85
2021,Touring Pro Division - USA,2021-06-26,"Rocksprings, TX",Slick Rock Challenge Day 2,Party Down,75
2021,Touring Pro Division - USA,2021-06-25,"Rocksprings, TX",Slick Rock Challenge Day 1,Prince Harry,0
2021,Touring Pro Division - USA,2021-06-25,"Rocksprings, TX",Slick Rock Challenge Day 1,Hank,0
2021,Touring Pro Division - USA,2021-06-19,"Bismarck, ND",Dakota Community Bank & Trust PBR Bull Riding Challenge,Safety Meeting,92
2021,Touring Pro Division - USA,2021-06-19,"Bismarck, ND",Dakota Community Bank & Trust PBR Bull Riding Challenge,Sky Harbor,90
2021,Touring Pro Division - USA,2021-06-18,"Bismarck, ND",Dakota Community Bank & Trust PBR Bull Riding Challenge,The Right Stuff,95.5
2021,Touring Pro Division - USA,2021-06-18,"Bismarck, ND",Dakota Community Bank & Trust PBR Bull Riding Challenge,Mr. Winston,89.5
2021,Touring Pro Division - USA,2021-06-18,"Bismarck, ND",Dakota Community Bank & Trust PBR Bull Riding Challenge,WSM's Foghorn Leghorn,88
2021,Unleash The Beast,2021-06-12,"Las Vegas, NV",PBR LAS VEGAS INVITATIONAL,High Brow Cat,0
2021,Unleash The Beast,2021-06-12,"Las Vegas, NV",PBR LAS VEGAS INVITATIONAL,Outlaw,85.5
2021,Unleash The Beast,2021-06-11,"Las Vegas, NV",PBR LAS VEGAS INVITATIONAL,Cha Ching,86.5
2021,Unleash The Beast,2021-05-23,"Jacksonville, FL",PBR BAD BOY MOWERS INVITATIONAL PRESENTED BY UNION HOME MORTGAGE,Notorious Nonsense,0
2021,Unleash The Beast,2021-05-23,"Jacksonville, FL",PBR BAD BOY MOWERS INVITATIONAL PRESENTED BY UNION HOME MORTGAGE,Heartbreak Kid,72.75
2021,Unleash The Beast,2021-05-22,"Jacksonville, FL",PBR BAD BOY MOWERS INVITATIONAL PRESENTED BY UNION HOME MORTGAGE,Walks Far,0
2021,Unleash The Beast,2021-05-16,"Billings, MT",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Diddy Wa Diddy,93.25
2021,Unleash The Beast,2021-05-16,"Billings, MT",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Hundred Bad Days,91.25
2021,Unleash The Beast,2021-05-15,"Billings, MT",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Soup in a Group,89.5
2021,Unleash The Beast,2021-05-15,"Billings, MT",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES 15/15 BUCKING BATTLE,Boogie Bomb,0
2021,Unleash The Beast,2021-05-14,"Billings, MT",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Kent's Wildside,0
2021,Touring Pro Division - USA,2021-05-08,"Corpus Christi, TX",WCRA Rodeo Corpus Christi,Hard Times,0
2021,Unleash The Beast,2021-05-02,"Omaha, NE",PBR UNION HOME MORTGAGE INVITATIONAL,I'm Legit Too,91.75
2021,Unleash The Beast,2021-05-02,"Omaha, NE",PBR UNION HOME MORTGAGE INVITATIONAL,Jayded,86.75
2021,Unleash The Beast,2021-05-01,"Omaha, NE",PBR UNION HOME MORTGAGE INVITATIONAL 15/15 BUCKING BATTLE,The Sauce,0
2021,Unleash The Beast,2021-05-01,"Omaha, NE",PBR UNION HOME MORTGAGE INVITATIONAL,Blue Crush,89.25
2021,Unleash The Beast,2021-04-24,"Nampa, ID",PBR NAMPA INVITATIONAL,The Right Stuff,89.5
2021,Unleash The Beast,2021-04-24,"Nampa, ID",PBR NAMPA INVITATIONAL,Smoke Show,0
2021,Unleash The Beast,2021-04-23,"Nampa, ID",PBR NAMPA INVITATIONAL,XO,89.25
2021,Unleash The Beast,2021-04-23,"Nampa, ID",PBR NAMPA INVITATIONAL 15/15 BUCKING BATTLE,Top Shelf,92.5
2021,Unleash The Beast,2021-04-18,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL,Bubba G,0
2021,Unleash The Beast,2021-04-18,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL,Smokin' Gun,87.5
2021,Unleash The Beast,2021-04-17,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL 15/15 BUCKING BATTLE,Top Shelf,92.5
2021,Unleash The Beast,2021-04-17,"Oklahoma City, OK",PBR EXPRESS RANCHES INVITATIONAL,Butterfly Kisses,0
2021,Unleash The Beast,2021-04-11,"Sioux Falls, SD",PBR FIRST PREMIER BANK/PREMIER BANKCARD INVITATIONAL,Hundred Bad Days,92.25
2021,Unleash The Beast,2021-04-11,"Sioux Falls, SD",PBR FIRST PREMIER BANK/PREMIER BANKCARD INVITATIONAL,Lil 2 Train,90.5
2021,Unleash The Beast,2021-04-10,"Sioux Falls, SD",PBR FIRST PREMIER BANK/PREMIER BANKCARD INVITATIONAL,Oney,83.5
2021,Unleash The Beast,2021-04-09,"Sioux Falls, SD",PBR FIRST PREMIER BANK/PREMIER BANKCARD INVITATIONAL,Peep Show,88.25
2021,Unleash The Beast,2021-03-28,"Louisville, KY",PBR LUCAS OIL INVITATIONAL,Safety Meeting,0
2021,Unleash The Beast,2021-03-28,"Louisville, KY",PBR LUCAS OIL INVITATIONAL,Marquis Metal Works Draggin Up,88.75
2021,Unleash The Beast,2021-03-27,"Louisville, KY",PBR LUCAS OIL INVITATIONAL,Twisted,84.25
2021,Unleash The Beast,2021-03-27,"Louisville, KY",PBR LUCAS OIL INVITATIONAL 15/15 BUCKING BATTLE,Apper's Mind Freak,90.5
2021,Unleash The Beast,2021-03-21,"Kansas City, MO",PBR CATERPILLAR CLASSIC,Top Shelf,91.75
2021,Unleash The Beast,2021-03-21,"Kansas City, MO",PBR CATERPILLAR CLASSIC,Outlaw,0
2021,Unleash The Beast,2021-03-20,"Kansas City, MO",PBR CATERPILLAR CLASSIC,Knee Deep,90
2021,Unleash The Beast,2021-02-27,"Fort Worth, TX",PBR CAN-AM INVITATIONAL,Woopaa,94.75
2021,Unleash The Beast,2021-02-27,"Fort Worth, TX",PBR CAN-AM INVITATIONAL,Rooty Tooty,0
2021,Unleash The Beast,2021-02-26,"Fort Worth, TX",PBR CAN-AM INVITATIONAL,Hundred Bad Days,91
2021,Unleash The Beast,2021-01-16,"Ocala, FL",PBR MONSTER ENERGY INVITATIONAL,Dirty Sancho,0
2020,Unleash The Beast,2020-11-15,"Arlington, TX",2020 PBR WORLD FINALS: UNLEASH THE BEAST,Night Hawk,0
2020,Unleash The Beast,2020-11-15,"Arlington, TX",2020 PBR WORLD FINALS: UNLEASH THE BEAST,Bullseye,0
2020,Unleash The Beast,2020-11-14,"Arlington, TX",2020 PBR WORLD FINALS: UNLEASH THE BEAST,Woopaa,95.75
2020,Unleash The Beast,2020-11-13,"Arlington, TX",2020 PBR WORLD FINALS: UNLEASH THE BEAST,Louisville Slugger,83.25
2020,Unleash The Beast,2020-11-12,"Arlington, TX",2020 PBR WORLD FINALS: UNLEASH THE BEAST,Total Feeds Bushwacked,87.5
2020,Pendleton Whisky Velocity Tour,2020-11-07,"Sioux Falls, SD",2020 PWVT VELOCITY TOUR FINALS PRESENTED BY FIRST PREMIER BANK AND PREMIER BANKCARD,Hang 'em High,0
2020,Pendleton Whisky Velocity Tour,2020-11-06,"Sioux Falls, SD",2020 PWVT VELOCITY TOUR FINALS PRESENTED BY FIRST PREMIER BANK AND PREMIER BANKCARD,Party Animal,0
2020,Unleash The Beast,2020-10-17,"Nampa, ID",PBR COOPER TIRES TAKE THE MONEY AND RIDE PRESENTED BY UNION HOME MORTGAGE,CopperPoint Swagger,0
2020,Unleash The Beast,2020-10-17,"Nampa, ID",PBR COOPER TIRES TAKE THE MONEY AND RIDE PRESENTED BY UNION HOME MORTGAGE,Notorious Nonsense,86.75
2020,Unleash The Beast,2020-10-16,"Nampa, ID",PBR COOPER TIRES TAKE THE MONEY AND RIDE PRESENTED BY UNION HOME MORTGAGE,Joe Bananas,0
2020,Unleash The Beast,2020-10-11,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY BASS PRO SHOPS,Ominous,0
2020,Unleash The Beast,2020-10-10,"Tulsa, OK",PBR EXPRESS RANCHES CLASSIC PRESENTED BY BASS PRO SHOPS,Dirt Gangster,0
2020,Unleash The Beast,2020-10-04,"Lincoln, NE",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Oz,89
2020,Unleash The Beast,2020-10-04,"Lincoln, NE",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Bread Basket,0
2020,Unleash The Beast,2020-10-03,"Lincoln, NE",PBR WRANGLER INVITATIONAL PRESENTED BY COOPER TIRES,Gangster Time,86
2020,Unleash The Beast,2020-09-13,"Billings, MT",PBR ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Bad Decisions,89.75
2020,Unleash The Beast,2020-09-13,"Billings, MT",PBR ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Zero Time,89.75
2020,Unleash The Beast,2020-09-12,"Billings, MT",PBR ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Nailed,86.5
2020,Unleash The Beast,2020-09-12,"Billings, MT",PBR ARIAT INVITATIONAL PRESENTED BY COOPER TIRES 15/15,Smooth Operator,94.25
2020,Unleash The Beast,2020-09-11,"Billings, MT",PBR ARIAT INVITATIONAL PRESENTED BY COOPER TIRES,Safety Meeting,89.25
2020,Unleash The Beast,2020-08-30,"Fort Worth, TX",PBR WinStar WORLD CASINO AND RESORT INVITATIONAL,Boogie Bomb,88.25
2020,Unleash The Beast,2020-08-30,"Fort Worth, TX",PBR WinStar WORLD CASINO AND RESORT INVITATIONAL,Milk Man,89.75
2020,Unleash The Beast,2020-08-29,"Fort Worth, TX",PBR WinStar WORLD CASINO AND RESORT INVITATIONAL,Dixie Explosion,0
