age_group,place_overall,place_gender,place_division,name,team,bib_number,half_time,finish_net,finish_gun,gender,half_time_sec,finish_net_sec,finish_gun_sec,finish_net_minutes
40-44,910,863,96,"Marek, Joseph",Team–,1560,1H 20M 40S,2H 43M 34S,2H 44M 0S,M,4840,9814,9840,163.56666666666666
40-44,915,868,97,"Rosinger, Walter",Team–,1118,1H 19M 56S,2H 43M 38S,2H 43M 57S,M,4796,9818,9837,163.63333333333333
40-44,926,879,98,"Klapper, Bradley",Team–,1688,1H 18M 49S,2H 43M 41S,2H 44M 0S,M,4729,9821,9840,163.68333333333334
40-44,947,899,99,"Johnson, Bill",Team–,1403,1H 22M 22S,2H 43M 53S,2H 44M 24S,M,4942,9833,9864,163.88333333333333
40-44,952,904,100,"Mount, James",Team–,1217,1H 20M 37S,2H 43M 57S,2H 44M 15S,M,4837,9837,9855,163.95
40-44,959,911,101,"Mead, Gerad",Team–,1138,1H 19M 28S,2H 44M 0S,2H 44M 20S,M,4768,9840,9860,164
40-44,971,923,102,"Rouse, Matt",Team–,2921,1H 21M 41S,2H 44M 5S,2H 44M 58S,M,4901,9845,9898,164.08333333333334
40-44,972,924,103,"Riley, Paul",Team–,5443,1H 21M 29S,2H 44M 5S,2H 46M 24S,M,4889,9845,9984,164.08333333333334
40-44,1000,951,104,"Moore, Jared",TeamRogue Racers,727,1H 18M 44S,2H 44M 19S,2H 44M 24S,M,4724,9859,9864,164.31666666666666
40-44,1006,957,105,"Waters, Richard",Team–,2057,1H 24M 9S,2H 44M 24S,2H 45M 14S,M,5049,9864,9914,164.4
40-44,1063,1012,106,"Cordeiro, Nilton",Team–,3428,1H 24M 20S,2H 44M 49S,2H 46M 7S,M,5060,9889,9967,164.81666666666666
40-44,1089,1036,107,"Aldy, Aubrey",Team–,1823,1H 21M 46S,2H 45M 4S,2H 45M 38S,M,4906,9904,9938,165.06666666666666
40-44,1099,1046,108,"Cummins, Trevor",Team–,657,1H 19M 19S,2H 45M 8S,2H 45M 10S,M,4759,9908,9910,165.13333333333333
40-44,1107,1054,109,"Anderson, Brian",Team–,614,1H 19M 51S,2H 45M 13S,2H 45M 19S,M,4791,9913,9919,165.21666666666667
40-44,1109,1056,110,"Green, Brett",Team–,3767,1H 21M 50S,2H 45M 15S,2H 46M 39S,M,4910,9915,9999,165.25
40-44,1111,1058,111,"Karakoyunlu, Deniz",Team–,4355,1H 21M 29S,2H 45M 17S,2H 46M 32S,M,4889,9917,9992,165.28333333333333
40-44,1116,1063,112,"Indredavik, Baard",Team–,3131,1H 22M 53S,2H 45M 19S,2H 46M 41S,M,4973,9919,10001,165.31666666666666
40-44,1119,1066,113,"Sicher, Nathan",Team–,3342,1H 23M 35S,2H 45M 21S,2H 46M 53S,M,5015,9921,10013,165.35
40-44,1125,1071,114,"Amaral, Paulo",TeamGreater Lowell Road Runners,1240,1H 21M 9S,2H 45M 23S,2H 45M 49S,M,4869,9923,9949,165.38333333333333
40-44,1127,1073,115,"Carman, Gregory",Team–,801,1H 20M 49S,2H 45M 24S,2H 45M 29S,M,4849,9924,9929,165.4
40-44,1137,1083,116,"Gonzalez, Alfonzo",Team–,1330,1H 21M 27S,2H 45M 30S,2H 46M 34S,M,4887,9930,9994,165.5
40-44,1139,1085,117,"Wood, Richard",Team–,4923,1H 22M 36S,2H 45M 31S,2H 47M 13S,M,4956,9931,10033,165.51666666666668
40-44,1143,1089,118,"Lampert, Jeff",Team–,4230,1H 19M 55S,2H 45M 33S,2H 47M 22S,M,4795,9933,10042,165.55
40-44,1153,1099,119,"Senner, Nathan",Team–,2675,1H 19M 4S,2H 45M 37S,2H 46M 9S,M,4744,9937,9969,165.61666666666667
40-44,1154,1100,120,"Hanson, Derek",Team–,2097,1H 23M 30S,2H 45M 37S,2H 46M 29S,M,5010,9937,9989,165.61666666666667
40-44,1155,1101,121,"Dalm, Maurits",Team–,897,1H 20M 4S,2H 45M 37S,2H 45M 44S,M,4804,9937,9944,165.61666666666667
40-44,1163,1108,122,"Stauffer, Lyle",Team–,2185,1H 21M 3S,2H 45M 40S,2H 46M 17S,M,4863,9940,9977,165.66666666666666
40-44,1167,1111,123,"Villanueva, Diego",Team–,1369,1H 22M 50S,2H 45M 43S,2H 46M 3S,M,4970,9943,9963,165.71666666666667
40-44,1179,1123,124,"Thompson, Dowen",Team–,2641,1H 23M 26S,2H 45M 47S,2H 46M 34S,M,5006,9947,9994,165.78333333333333
40-44,1182,1126,125,"Lima Vazquez, Ulises",Team–,2689,1H 22M 29S,2H 45M 50S,2H 46M 47S,M,4949,9950,10007,165.83333333333334
40-44,1194,1138,126,"Carvalho, Rafael",Team–,855,1H 20M 38S,2H 45M 55S,2H 46M 2S,M,4838,9955,9962,165.91666666666666
40-44,1213,1156,127,"Cao, Giovanni",Team–,3815,1H 22M 21S,2H 46M 5S,2H 47M 16S,M,4941,9965,10036,166.08333333333334
40-44,1226,1169,128,"Boayes, Farhan",Team–,2234,1H 22M 44S,2H 46M 11S,2H 46M 54S,M,4964,9971,10014,166.18333333333334
40-44,1228,1171,129,"Anderson, Joel",Team–,1422,1H 22M 1S,2H 46M 11S,2H 46M 32S,M,4921,9971,9992,166.18333333333334
40-44,1238,1180,130,"Bullock, Ryan",Team–,966,1H 22M 42S,2H 46M 16S,2H 46M 58S,M,4962,9976,10018,166.26666666666668
40-44,1243,1185,131,"Hansen, Aaron",Team–,1799,1H 22M 21S,2H 46M 18S,2H 46M 49S,M,4941,9978,10009,166.3
40-44,1246,1188,132,"Mbugua, Brian",Team–,1169,1H 21M 45S,2H 46M 20S,2H 46M 50S,M,4905,9980,10010,166.33333333333334
40-44,1247,1189,133,"Wiltse, Russell",Team–,3144,1H 21M 19S,2H 46M 21S,2H 47M 37S,M,4879,9981,10057,166.35
40-44,1255,1196,134,"Grannis, Matthew",TeamTwin City Track Club,2665,1H 23M 26S,2H 46M 24S,2H 47M 5S,M,5006,9984,10025,166.4
40-44,1283,1222,135,"Talhelm, Alan",TeamSacramento Running Association Elite,2005,1H 21M 50S,2H 46M 43S,2H 47M 43S,M,4910,10003,10063,166.71666666666667
40-44,1285,1224,136,"Stephenson, Tom",Team–,733,1H 18M 48S,2H 46M 43S,2H 46M 53S,M,4728,10003,10013,166.71666666666667
40-44,1296,1235,137,"Nolan, Brett",Team–,2001,1H 23M 36S,2H 46M 49S,2H 47M 45S,M,5016,10009,10065,166.81666666666666
40-44,1308,1245,138,"Cziraky, Aaron",Team–,2426,1H 21M 54S,2H 46M 52S,2H 47M 33S,M,4914,10012,10053,166.86666666666667
40-44,1310,1246,139,"Grant, Jeff",Team–,2898,1H 23M 21S,2H 46M 54S,2H 48M 2S,M,5001,10014,10082,166.9
40-44,1318,1254,140,"Emery, James",Team–,1673,1H 22M 11S,2H 46M 57S,2H 47M 22S,M,4931,10017,10042,166.95
40-44,1322,1258,141,"Crastes, Pierre-Jean",Team–,1730,1H 22M 50S,2H 46M 59S,2H 47M 31S,M,4970,10019,10051,166.98333333333332
40-44,1324,1260,142,"Rocha, Douglas",Team–,1843,1H 22M 14S,2H 47M 0S,2H 47M 16S,M,4934,10020,10036,167
40-44,1328,1264,143,"Perrich, Ryan",Team–,2986,1H 22M 31S,2H 47M 2S,2H 48M 6S,M,4951,10022,10086,167.03333333333333
40-44,1337,1273,144,"Gartrell, Byron",Team–,4244,1H 24M 54S,2H 47M 5S,2H 48M 59S,M,5094,10025,10139,167.08333333333334
40-44,1342,1278,145,"Frener, Philipp",TeamFront Runners NY,2918,1H 23M 3S,2H 47M 6S,2H 47M 57S,M,4983,10026,10077,167.1
40-44,1349,1285,146,"Venancio Baticioto, Carlos Alexandre",Team–,5060,1H 22M 11S,2H 47M 7S,2H 49M 37S,M,4931,10027,10177,167.11666666666667
40-44,1350,1286,147,"Gonzalez, Alejandro",Team–,3900,1H 20M 56S,2H 47M 7S,2H 48M 8S,M,4856,10027,10088,167.11666666666667
40-44,1374,1308,148,"White, Shaun",Team–,3182,1H 23M 49S,2H 47M 18S,2H 48M 30S,M,5029,10038,10110,167.3
40-44,1392,1326,149,"Blanco Sevilla, Leandro",Team–,1161,1H 22M 13S,2H 47M 26S,2H 47M 40S,M,4933,10046,10060,167.43333333333334
40-44,1403,1336,150,"Vanderhorst, Johnny",Team–,2574,1H 20M 45S,2H 47M 28S,2H 48M 21S,M,4845,10048,10101,167.46666666666667
40-44,1405,1338,151,"Fry, Doug",Team–,2442,1H 22M 26S,2H 47M 29S,2H 48M 10S,M,4946,10049,10090,167.48333333333332
40-44,1406,1339,152,"Walters, Rob",Team–,1930,1H 21M 12S,2H 47M 30S,2H 47M 47S,M,4872,10050,10067,167.5
40-44,1409,1342,153,"Paredes, Omar",Team–,4397,1H 23M 34S,2H 47M 31S,2H 49M 14S,M,5014,10051,10154,167.51666666666668
40-44,1411,1344,154,"Crawford, Andy",TeamWolfpack Running Club,1071,1H 22M 53S,2H 47M 32S,2H 47M 56S,M,4973,10052,10076,167.53333333333333
40-44,1415,1348,155,"Andrews, Stephen",TeamGreen Mountain Athletic Association,806,1H 21M 1S,2H 47M 33S,2H 47M 45S,M,4861,10053,10065,167.55
40-44,1416,1349,156,"Stroupe, David",Team–,1647,1H 24M 37S,2H 47M 33S,2H 48M 5S,M,5077,10053,10085,167.55
40-44,1422,1355,157,"Seeba, Garett",Team–,3883,1H 22M 24S,2H 47M 36S,2H 48M 51S,M,4944,10056,10131,167.6
40-44,1424,1357,158,"Almasi, Brett",Team–,2745,1H 22M 39S,2H 47M 37S,2H 48M 18S,M,4959,10057,10098,167.61666666666667
40-44,1425,1358,159,"Wehrley, Michael",Team–,1951,1H 22M 26S,2H 47M 37S,2H 48M 15S,M,4946,10057,10095,167.61666666666667
40-44,1430,1363,160,"Bowman, Timothy",Team–,1652,1H 22M 58S,2H 47M 40S,2H 47M 57S,M,4978,10060,10077,167.66666666666666
40-44,1432,1365,161,"Zhong, Cheng",TeamBEN Running Club,4248,1H 22M 27S,2H 47M 42S,2H 47M 45S,M,4947,10062,10065,167.7
40-44,1437,1370,162,"Ndebele, Cosmos",Team–,2428,1H 20M 43S,2H 47M 43S,2H 48M 29S,M,4843,10063,10109,167.71666666666667
40-44,1440,1373,163,"Fry, Eric",Team–,981,1H 23M 50S,2H 47M 44S,2H 47M 52S,M,5030,10064,10072,167.73333333333332
40-44,1443,1376,164,"Rye-Florentz, Frederik",Team–,2487,1H 24M 20S,2H 47M 46S,2H 48M 19S,M,5060,10066,10099,167.76666666666668
40-44,1451,1384,165,"Russell-Gibson, Chris",Team–,675,1H 19M 37S,2H 47M 49S,2H 47M 55S,M,4777,10069,10075,167.81666666666666
40-44,1460,1393,166,"Janssen, Gijs",Team–,1729,1H 19M 46S,2H 47M 52S,2H 48M 8S,M,4786,10072,10088,167.86666666666667
40-44,1461,1394,167,"Peterson, Greg",Team–,1981,1H 22M 22S,2H 47M 53S,2H 48M 12S,M,4942,10073,10092,167.88333333333333
40-44,1473,1406,168,"Noyes, Tyler",Team–,3666,1H 22M 57S,2H 48M 0S,2H 49M 12S,M,4977,10080,10152,168
40-44,1476,1409,169,"Vaillancourt, Sylvain",Team–,1832,1H 22M 31S,2H 48M 1S,2H 48M 24S,M,4951,10081,10104,168.01666666666668
40-44,1484,1417,170,"Redding, Patrick",Team–,3829,1H 23M 1S,2H 48M 4S,2H 49M 11S,M,4981,10084,10151,168.06666666666666
40-44,1492,1425,171,"Gambles, Joe",Team–,2395,1H 16M 31S,2H 48M 7S,2H 48M 41S,M,4591,10087,10121,168.11666666666667
40-44,1497,1430,172,"Sabunin, Aleksey",Team–,2526,1H 26M 40S,2H 48M 9S,2H 48M 53S,M,5200,10089,10133,168.15
40-44,1503,1436,173,"Myers, Josh",Team–,1262,1H 22M 45S,2H 48M 12S,2H 48M 39S,M,4965,10092,10119,168.2
40-44,1505,1438,174,"Macedo, Jocilei",Team–,1419,1H 20M 0S,2H 48M 12S,2H 48M 21S,M,4800,10092,10101,168.2
40-44,1510,1443,175,"Bomhof, Marc",Team–,3205,1H 24M 1S,2H 48M 16S,2H 49M 25S,M,5041,10096,10165,168.26666666666668
40-44,1513,1446,176,"Duncan, Robert",Team–,3136,1H 20M 44S,2H 48M 17S,2H 49M 18S,M,4844,10097,10158,168.28333333333333
40-44,1514,1447,177,"Wineman, Immanuel",Team–,1802,1H 20M 59S,2H 48M 17S,2H 48M 39S,M,4859,10097,10119,168.28333333333333
40-44,1515,1448,178,"Bryant, Zach",Team–,3266,1H 22M 39S,2H 48M 17S,2H 49M 39S,M,4959,10097,10179,168.28333333333333
40-44,1516,1449,179,"Van Haaren, Johannes",Team–,392,1H 19M 20S,2H 48M 17S,2H 48M 21S,M,4760,10097,10101,168.28333333333333
40-44,1520,1453,180,"Larosa, John",TeamBoston Athletic Association,1378,1H 20M 16S,2H 48M 19S,2H 48M 56S,M,4816,10099,10136,168.31666666666666
40-44,1560,1492,181,"Labesse, Julien",Team–,2486,1H 21M 17S,2H 48M 37S,2H 49M 19S,M,4877,10117,10159,168.61666666666667
40-44,1561,1493,182,"Lloyd, Steve",Team–,993,1H 17M 0S,2H 48M 38S,2H 48M 51S,M,4620,10118,10131,168.63333333333333
40-44,1571,1502,183,"Arias, Ramiro",Team–,3083,1H 23M 54S,2H 48M 45S,2H 50M 1S,M,5034,10125,10201,168.75
40-44,1572,1503,184,"Soares, Nuno André",Team–,1150,1H 23M 38S,2H 48M 46S,2H 49M 22S,M,5018,10126,10162,168.76666666666668
40-44,1575,1506,185,"Rodríguez Rodríguez, Luis",Team–,2140,1H 23M 43S,2H 48M 46S,2H 49M 26S,M,5023,10126,10166,168.76666666666668
40-44,1580,1511,186,"Fitzachary, Marc",Team–,2720,1H 22M 17S,2H 48M 47S,2H 49M 32S,M,4937,10127,10172,168.78333333333333
40-44,1588,1518,187,"Stock, Paul",Team–,2506,1H 23M 10S,2H 48M 52S,2H 49M 39S,M,4990,10132,10179,168.86666666666667
40-44,1589,1519,188,"Concepcion, Luis",Team–,3737,1H 25M 19S,2H 48M 53S,2H 50M 17S,M,5119,10133,10217,168.88333333333333
40-44,1590,1520,189,"Siqueiros, Carlos",Team–,786,1H 20M 31S,2H 48M 53S,2H 49M 7S,M,4831,10133,10147,168.88333333333333
40-44,1594,1522,190,"Eiswerth, Christopher",Team–,1210,1H 19M 59S,2H 48M 55S,2H 49M 25S,M,4799,10135,10165,168.91666666666666
40-44,1604,1532,191,"Alderson, Skip",Team–,6782,1H 24M 25S,2H 48M 58S,2H 51M 56S,M,5065,10138,10316,168.96666666666667
40-44,1619,1547,192,"Schmitt, Craig",Team–,2148,1H 23M 23S,2H 49M 3S,2H 49M 58S,M,5003,10143,10198,169.05
40-44,1624,1550,193,"Moore, Steve",Team–,4191,1H 24M 25S,2H 49M 4S,2H 51M 15S,M,5065,10144,10275,169.06666666666666
40-44,1635,1560,194,"Borden Jr, James",Team–,2263,1H 24M 40S,2H 49M 8S,2H 49M 52S,M,5080,10148,10192,169.13333333333333
40-44,1645,1569,195,"Wathke, Brent",Team–,2025,1H 23M 19S,2H 49M 13S,2H 49M 52S,M,4999,10153,10192,169.21666666666667
40-44,1650,1574,196,"Camarena Romero, Fabián",Team–,1047,1H 23M 5S,2H 49M 15S,2H 49M 34S,M,4985,10155,10174,169.25
40-44,1658,1582,197,"Cheng, Xiwen",Team–,1302,1H 23M 50S,2H 49M 17S,2H 49M 34S,M,5030,10157,10174,169.28333333333333
40-44,1662,1586,198,"Cale, Eric",TeamDWRunning,1633,1H 23M 51S,2H 49M 18S,2H 49M 44S,M,5031,10158,10184,169.3
40-44,1664,1588,199,"Schulte, Shiloh",Team–,4318,1H 24M 4S,2H 49M 19S,2H 51M 11S,M,5044,10159,10271,169.31666666666666
40-44,1670,1594,200,"Gray, Sean",Team–,3624,1H 24M 22S,2H 49M 21S,2H 50M 56S,M,5062,10161,10256,169.35
40-44,1673,1597,201,"Brown, David",Team–,8525,1H 23M 50S,2H 49M 22S,2H 49M 25S,M,5030,10162,10165,169.36666666666667
40-44,1674,1598,202,"Cook, Rich",Team–,3218,1H 24M 51S,2H 49M 24S,2H 50M 55S,M,5091,10164,10255,169.4
40-44,1689,1613,203,"Henares, Isaac",Team–,3288,1H 24M 35S,2H 49M 28S,2H 50M 46S,M,5075,10168,10246,169.46666666666667
40-44,1699,1623,204,"Miller, James",Team–,3265,1H 24M 40S,2H 49M 30S,2H 51M 9S,M,5080,10170,10269,169.5
40-44,1704,1628,205,"Beck, Jeffrey",Team–,1028,1H 25M 3S,2H 49M 32S,2H 50M 13S,M,5103,10172,10213,169.53333333333333
40-44,1723,1647,206,"Cowin, Alex",Team–,1703,1H 23M 52S,2H 49M 41S,2H 50M 23S,M,5032,10181,10223,169.68333333333334
40-44,1733,1655,207,"Pake, Tyler",TeamBull City Track Club,5224,1H 24M 48S,2H 49M 44S,2H 52M 6S,M,5088,10184,10326,169.73333333333332
40-44,1757,1678,208,"Geer, Tom",TeamManchester Running Company,2476,1H 27M 19S,2H 49M 51S,2H 50M 38S,M,5239,10191,10238,169.85
40-44,1760,1681,209,"Kseib, Kal",Team–,8038,1H 23M 46S,2H 49M 53S,2H 50M 2S,M,5026,10193,10202,169.88333333333333
40-44,1763,1684,210,"Burnett, Casey",Team–,1639,1H 22M 28S,2H 49M 54S,2H 50M 27S,M,4948,10194,10227,169.9
40-44,1777,1698,211,"Johnson, Charlie",TeamGulf Winds Track Club,1502,1H 25M 50S,2H 49M 57S,2H 50M 31S,M,5150,10197,10231,169.95
40-44,1789,1708,212,"Krone, Neal",Team–,4461,1H 23M 8S,2H 50M 2S,2H 51M 48S,M,4988,10202,10308,170.03333333333333
40-44,1792,1711,213,"Stam, Martin",Team–,3219,1H 23M 51S,2H 50M 2S,2H 50M 4S,M,5031,10202,10204,170.03333333333333
40-44,1796,1715,214,"Dailey, Timothy",Team–,6646,1H 23M 33S,2H 50M 3S,2H 53M 23S,M,5013,10203,10403,170.05
40-44,1799,1718,215,"Berlin, Corey",Team–,2803,1H 25M 13S,2H 50M 4S,2H 51M 4S,M,5113,10204,10264,170.06666666666666
40-44,1801,1720,216,"Holt, Jarrod",Team–,1391,1H 21M 14S,2H 50M 5S,2H 50M 21S,M,4874,10205,10221,170.08333333333334
40-44,1803,1722,217,"Norman, Luke",Team–,5135,1H 24M 7S,2H 50M 6S,2H 52M 13S,M,5047,10206,10333,170.1
40-44,1804,1723,218,"Lunty, Brendan",Team–,3018,1H 23M 19S,2H 50M 7S,2H 51M 9S,M,4999,10207,10269,170.11666666666667
40-44,1814,1733,219,"Spencer, Adrian",TeamMontgomery County Road Runners,2187,1H 26M 9S,2H 50M 14S,2H 50M 48S,M,5169,10214,10248,170.23333333333332
40-44,1822,1740,220,"Gomez, Jaime",Team–,2602,1H 24M 47S,2H 50M 18S,2H 51M 49S,M,5087,10218,10309,170.3
40-44,1828,1746,221,"Mckinney, William",Team–,2232,1H 23M 43S,2H 50M 21S,2H 51M 4S,M,5023,10221,10264,170.35
40-44,1834,1752,222,"Nichols, John",Team–,1495,NA,2H 50M 22S,2H 50M 53S,M,NA,10222,10253,170.36666666666667
40-44,1837,1755,223,"Tarimo, Wenceslaus",Team–,1971,1H 18M 38S,2H 50M 23S,2H 50M 38S,M,4718,10223,10238,170.38333333333333
40-44,1838,1756,224,"Murrie, Andrew",Team–,1263,1H 25M 41S,2H 50M 23S,2H 50M 58S,M,5141,10223,10258,170.38333333333333
40-44,1843,1761,225,"Gledhill, James",Team–,3031,1H 25M 24S,2H 50M 25S,2H 51M 35S,M,5124,10225,10295,170.41666666666666
40-44,1844,1762,226,"Davenport, Mark",Team–,2313,1H 22M 7S,2H 50M 25S,2H 51M 29S,M,4927,10225,10289,170.41666666666666
40-44,1848,1766,227,"Silva, Angelo Celso",Team–,2325,1H 24M 40S,2H 50M 26S,2H 51M 15S,M,5080,10226,10275,170.43333333333334
40-44,1852,1770,228,"Ortiz Cantor, Alvaro",Team–,2011,1H 21M 52S,2H 50M 27S,2H 51M 13S,M,4912,10227,10273,170.45
40-44,1861,1779,229,"Box, Paul",Team–,4471,1H 26M 3S,2H 50M 30S,2H 52M 26S,M,5163,10230,10346,170.5
40-44,1863,1781,230,"Guerra, Jeffrey",Team–,6588,1H 25M 42S,2H 50M 31S,2H 53M 59S,M,5142,10231,10439,170.51666666666668
40-44,1865,1783,231,"Wilson, Michael",Team–,2632,1H 26M 41S,2H 50M 32S,2H 51M 5S,M,5201,10232,10265,170.53333333333333
40-44,1886,1803,232,"Soldner, James",TeamTracksmith Boston Hares,1746,1H 22M 37S,2H 50M 41S,2H 51M 10S,M,4957,10241,10270,170.68333333333334
40-44,1893,1810,233,"Delgado, Alejandro",Team–,3828,1H 24M 26S,2H 50M 43S,2H 52M 14S,M,5066,10243,10334,170.71666666666667
40-44,1906,1823,234,"Freitas, Douglas",Team–,2225,1H 22M 37S,2H 50M 47S,2H 51M 20S,M,4957,10247,10280,170.78333333333333
40-44,1908,1825,235,"Metcalf, Alastair",Team–,2753,1H 22M 50S,2H 50M 48S,2H 51M 33S,M,4970,10248,10293,170.8
40-44,1912,1829,236,"Bush, Jeremy",TeamTwin City Track Club,1874,1H 23M 26S,2H 50M 52S,2H 51M 33S,M,5006,10252,10293,170.86666666666667
40-44,1913,1830,237,"Dees, Erik",Team–,2786,1H 23M 38S,2H 50M 52S,2H 51M 35S,M,5018,10252,10295,170.86666666666667
40-44,1916,1833,238,"Magyar, Mark",Team–,2810,1H 24M 21S,2H 50M 53S,2H 51M 42S,M,5061,10253,10302,170.88333333333333
40-44,1926,1843,239,"Swanepoel, Wihan",Team–,5031,1H 26M 2S,2H 50M 56S,2H 53M 26S,M,5162,10256,10406,170.93333333333334
40-44,1927,1844,240,"Trilla, Javier",Team–,5246,1H 24M 47S,2H 50M 56S,2H 53M 50S,M,5087,10256,10430,170.93333333333334
40-44,1936,1853,241,"Njue, Sam",Team–,1619,1H 26M 10S,2H 51M 0S,2H 51M 35S,M,5170,10260,10295,171
40-44,1939,1855,242,"Green, Kevin",Team–,4492,1H 26M 16S,2H 51M 1S,2H 53M 46S,M,5176,10261,10426,171.01666666666668
40-44,1942,1858,243,"Dicerbo, Dave",Team–,4345,1H 25M 6S,2H 51M 1S,2H 53M 5S,M,5106,10261,10385,171.01666666666668
40-44,1945,1861,244,"Downey, John",Team–,2260,1H 24M 6S,2H 51M 2S,2H 52M 6S,M,5046,10262,10326,171.03333333333333
40-44,1955,1871,245,"Novais, Andre Silva",Team–,2387,1H 26M 27S,2H 51M 7S,2H 51M 53S,M,5187,10267,10313,171.11666666666667
40-44,1958,1874,246,"Mcmahon, Tim",Team–,2365,1H 24M 29S,2H 51M 8S,2H 51M 47S,M,5069,10268,10307,171.13333333333333
40-44,1961,1877,247,"García Fernández, David",Team–,5075,1H 23M 23S,2H 51M 8S,2H 53M 37S,M,5003,10268,10417,171.13333333333333
40-44,1963,1879,248,"Medrado, Fabio",Team–,1789,1H 25M 4S,2H 51M 10S,2H 51M 43S,M,5104,10270,10303,171.16666666666666
40-44,1964,1880,249,"Winters, Craig",Team–,1655,1H 23M 24S,2H 51M 10S,2H 51M 50S,M,5004,10270,10310,171.16666666666666
40-44,1966,1882,250,"Flowerday, Crispin",Team–,1776,1H 24M 42S,2H 51M 11S,2H 51M 42S,M,5082,10271,10302,171.18333333333334
40-44,1969,1885,251,"Richmond, Jason",Team–,2966,1H 23M 6S,2H 51M 12S,2H 51M 55S,M,4986,10272,10315,171.2
40-44,1970,1886,252,"Tong, Kristopher",Team–,4067,1H 25M 33S,2H 51M 13S,2H 53M 42S,M,5133,10273,10422,171.21666666666667
40-44,1993,1909,253,"Henry, Scott",Team–,1407,1H 19M 4S,2H 51M 22S,2H 51M 48S,M,4744,10282,10308,171.36666666666667
40-44,1995,1911,254,"Mendez Franco, Oscar",Team–,3386,1H 24M 52S,2H 51M 23S,2H 54M 42S,M,5092,10283,10482,171.38333333333333
40-44,1996,1912,255,"Donaghy, Roger",TeamBoston Athletic Association,2291,1H 23M 41S,2H 51M 23S,2H 52M 14S,M,5021,10283,10334,171.38333333333333
40-44,1997,1913,256,"Demori, Diego",Team–,2876,1H 25M 48S,2H 51M 24S,2H 52M 24S,M,5148,10284,10344,171.4
40-44,2008,1924,257,"Reveman, David",Team–,2978,1H 23M 58S,2H 51M 27S,2H 52M 15S,M,5038,10287,10335,171.45
40-44,2014,1930,258,"Sarceda, Matthew",Team–,6271,1H 25M 28S,2H 51M 29S,2H 55M 22S,M,5128,10289,10522,171.48333333333332
40-44,2016,1932,259,"Marcoux, David",Team–,2533,1H 22M 59S,2H 51M 30S,2H 52M 31S,M,4979,10290,10351,171.5
40-44,2017,1933,260,"Cianfrocca, Rocky",Team–,4007,1H 26M 15S,2H 51M 30S,2H 53M 29S,M,5175,10290,10409,171.5
40-44,2018,1934,261,"Cubillos, Camilo",Team–,1886,1H 22M 27S,2H 51M 30S,2H 51M 46S,M,4947,10290,10306,171.5
40-44,2024,1940,262,"Rahman, Sam",Team–,3460,NA,2H 51M 33S,2H 52M 43S,M,NA,10293,10363,171.55
40-44,2027,1943,263,"Macdonald, Adam",Team–,1943,1H 25M 13S,2H 51M 33S,2H 52M 11S,M,5113,10293,10331,171.55
40-44,2048,1963,264,"Ernest, Oliver",Team–,2939,1H 23M 26S,2H 51M 39S,2H 52M 22S,M,5006,10299,10342,171.65
40-44,2063,1977,265,"Stella, Ricardo",Team–,9302,1H 23M 54S,2H 51M 45S,2H 52M 12S,M,5034,10305,10332,171.75
40-44,2065,1979,266,"Dietrich, Travis",Team–,2371,1H 22M 45S,2H 51M 46S,2H 52M 36S,M,4965,10306,10356,171.76666666666668
40-44,2068,1982,267,"Yott, David",Team–,1026,1H 24M 41S,2H 51M 46S,2H 52M 19S,M,5081,10306,10339,171.76666666666668
40-44,2076,1990,268,"Olle, Bernat",Team–,6039,1H 24M 49S,2H 51M 48S,2H 54M 48S,M,5089,10308,10488,171.8
40-44,2084,1998,269,"Hoppe, Cory",Team–,3529,1H 24M 41S,2H 51M 51S,2H 53M 20S,M,5081,10311,10400,171.85
40-44,2085,1999,270,"Lee, Chi Wing Gordon",Team–,2899,1H 23M 30S,2H 51M 51S,2H 53M 14S,M,5010,10311,10394,171.85
40-44,2090,2003,271,"Hoffman, Matthew",Team–,4214,1H 27M 19S,2H 51M 53S,2H 54M 10S,M,5239,10313,10450,171.88333333333333
40-44,2092,2005,272,"Breen, Edward",TeamWest Valley Track Club,8323,1H 23M 41S,2H 51M 54S,2H 51M 58S,M,5021,10314,10318,171.9
40-44,2099,2012,273,"Carson, Steven",Team–,2109,1H 24M 48S,2H 51M 56S,2H 53M 2S,M,5088,10316,10382,171.93333333333334
40-44,2105,2018,274,"King, Vincent",Team–,4157,1H 24M 27S,2H 52M 0S,2H 56M 48S,M,5067,10320,10608,172
40-44,2111,2024,275,"Wernz, Matthew",Team–,2334,1H 24M 54S,2H 52M 2S,2H 53M 3S,M,5094,10322,10383,172.03333333333333
40-44,2114,2027,276,"Welch, Michael",Team–,5716,1H 26M 43S,2H 52M 3S,2H 54M 38S,M,5203,10323,10478,172.05
40-44,2116,2029,277,"Furgler, Andrea",Team–,4736,1H 24M 6S,2H 52M 3S,2H 53M 56S,M,5046,10323,10436,172.05
40-44,2122,2035,278,"Manning, Matthew",TeamWinner's Circle Running Club,1580,1H 20M 42S,2H 52M 5S,2H 52M 27S,M,4842,10325,10347,172.08333333333334
40-44,2128,2041,279,"Vanwijnendael, Vic",Team–,4771,1H 22M 22S,2H 52M 8S,2H 54M 11S,M,4942,10328,10451,172.13333333333333
40-44,2139,2051,280,"Gayman, Brad",Team–,2513,1H 22M 45S,2H 52M 13S,2H 53M 2S,M,4965,10333,10382,172.21666666666667
